Cancelled By,RTD Ref,State,Station Name (LEA),FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,DEMIL Code,Date Requested,Justification,Reason Cancelled
LESOHQ,1739818,AL,FORT PAYNE POLICE DEPT,5340,015158518,"SPIKE STRIP,TIRE DE",EA,6,501.45,A,2016-11-30 14:57:43,TO BE USED TO HELP STOP TRAFFIC PURSUITS SAFELY AND INCREASE SAFETY WORKING TRAFFIC DETAILS. ,RECEIPTS...Agency has overdue receipts.  LESO will not issue additional property until all overdue receipts are submitted and approved.
LESOHQ,1747041,AL,FORT PAYNE POLICE DEPT,1095,015411514,"HOLSTER,PISTOL",EA,40,92.67,A,2016-12-09 23:05:04,"TO BE USED FOR BY OFFICERS DURING INCLEMENT WEATHER, TACTICAL OPERATIONS, AND TRAINING.",Item is in GSA Cycle.
LESOHQ,1711221,AL,HEADLAND POLICE DEPT,6220,015501399,"LIGHT,PARKING",EA,2,73.86,A,2016-10-28 17:17:47,THE HEADLAND POLICE DEPARTMENT AND OFFICERS COULD BENEFIT FROM THIS EQUIPMENT BY HAVING THE MEANS TO REPLACE PARTS ON HUMVEE ALREADY IN USE BY THIS DEPARTMENT,Cancelled by customer / manager request
LESOHQ,1706882,AL,HOUSTON COUNTY SHERIFF DEPT,4240,DSSAFERES,SAFETY AND RESCUE EQUIPMENT,EA,5,100,A,2016-10-25 17:58:38,THE HOUSTON COUNTY SHERIFFS OFFICE WILL USE THESE RIOT VESTS TO PROTECT DEPUTIES IN THE EVENT OF A RIOT OR OTHER SIMILAR CIVIL UNREST,Cancelled by customer / manager request
LESOHQ,1716506,AL,HOUSTON COUNTY SHERIFF DEPT,6920,001656354,"PASTER,TARGET",PG,2,24.23,A,2016-11-03 22:04:25,THE HOUSTON COUNTY SHERIFFS OFFICE WILL USE THESE AT OUR WEAPONS RANGE,"JUSTIFICATION Please provide a justification that states who the equipment will be used by, We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing."
LESOHQ,1701197,AL,TUSCALOOSA POLICE DEPT,2320,DSVAN0001,"VAN, COMMERCIAL",EA,1,5000,A,2016-10-22 08:55:06,MOVE PERSONNEL AND EQUIPMENT,JUSTIFICATION - Please provide a more detailed justification to why the item is needed for Law Enforcement.
LESOHQ,1719099,AL,TUSCALOOSA POLICE DEPT,2320,013469317,"TRUCK,UTILITY",EA,1,56762,C,2016-11-07 08:11:04,TPD REQUESTS THIS HMMWV TO BE USED FOR DISASTER RESPONSE BY LAW ENFORCEMENT FIRST RESPONDERS IN PERFORMING EVACUATIONS AND MOVING PERSONNEL AND EQUIPMENT INTO DISASTER ZONES.,ISSUED- Issued to another Agency
LESOHQ,1735981,AL,TUSCALOOSA POLICE DEPT,2540,015770627,"MAT,FLOOR",EA,24,1419.94,A,2016-11-26 08:56:57,TPD REQUESTS THIS MAT FLOORING TO BE USED WITH OUR MOBILE COMMAND POST TO GIVE A MORE SOLID FOUNDATION UNDER TENTS DURING DEPLOYMENTS FOR SPECIAL EVENTS AND DISASTER RESPONSE.,CYCLE....Item is in the GSA cycle.  Cannot release property during this cycle.
LESOHQ,1743604,AL,TUSCALOOSA POLICE DEPT,2330,013875426,"TRAILER,CARGO",EA,1,8954,A,2016-12-06 12:17:20,TPD REQUEST THIS TRAILER TO BE TOWED BEHIND ONE OF OUR HMMWV IN ORDER TO HAVE STORAGE ROOM FOR EQUIPMENT AND SUPPLIES DURING RESPONSE TO NATURAL DISASTERS. ,Item is in GSA Cycle.
LESOHQ,1743605,AL,TUSCALOOSA POLICE DEPT,2330,013875426,"TRAILER,CARGO",EA,1,8954,A,2016-12-06 12:17:20,TPD REQUEST THIS TRAILER TO BE TOWED BEHIND ONE OF OUR HMMWV IN ORDER TO HAVE STORAGE ROOM FOR EQUIPMENT AND SUPPLIES DURING RESPONSE TO NATURAL DISASTERS. ,Item is in GSA Cycle.
LESOHQ,1743606,AL,TUSCALOOSA POLICE DEPT,2330,013875426,"TRAILER,CARGO",EA,1,8954,A,2016-12-06 12:17:20,TPD REQUEST THIS TRAILER TO BE TOWED BEHIND ONE OF OUR HMMWV IN ORDER TO HAVE STORAGE ROOM FOR EQUIPMENT AND SUPPLIES DURING RESPONSE TO NATURAL DISASTERS. ,Item is in GSA Cycle.
LESOHQ,1743607,AL,TUSCALOOSA POLICE DEPT,2330,013875426,"TRAILER,CARGO",EA,1,8954,A,2016-12-06 12:17:20,TPD REQUEST THIS TRAILER TO BE TOWED BEHIND ONE OF OUR HMMWV IN ORDER TO HAVE STORAGE ROOM FOR EQUIPMENT AND SUPPLIES DURING RESPONSE TO NATURAL DISASTERS. ,Item is in GSA Cycle.
LESOHQ,1743608,AL,TUSCALOOSA POLICE DEPT,2330,013875426,"TRAILER,CARGO",EA,1,8954,A,2016-12-06 12:17:20,TPD REQUEST THIS TRAILER TO BE TOWED BEHIND ONE OF OUR HMMWV IN ORDER TO HAVE STORAGE ROOM FOR EQUIPMENT AND SUPPLIES DURING RESPONSE TO NATURAL DISASTERS. ,Item is in GSA Cycle.
LESOHQ,1694378,AL,UNIV OF NORTH AL POLICE  HI_ED,2330,DSTRAILE1,TRAILER,EA,1,3986,A,2016-10-14 17:13:25,"WE WOULD LIKE THIS TRAILER TO HELP MOVE SOME OF OUR GOLF CART, ATVS AND OTHER UNITS TO DIFFERENT VENUES AND LOCATIONS. ALSO TO BE USED TO GET EQUIPMENT TO REPAIR LOCATIONS",CYCLE - This item is in the GSA cycle and cannot be issue at this time.
LESOHQ,1694377,AL,UNIV OF NORTH AL POLICE  HI_ED,6720,DSDIGITA0,"CAMERA, DIGITAL",EA,1,1855.4,A,2016-10-14 17:13:25,THIS CAMERA WOULD BE USED BY OUR INVESTIGATORS FOR CRIME SCENE INVESTIGATION. ,CYCLE - This item is in the GSA cycle and cannot be issue at this time.
LESOHQ,1694375,AL,UNIV OF NORTH AL POLICE  HI_ED,6720,DSDIGITA0,"CAMERA, DIGITAL",EA,1,1855.4,A,2016-10-14 17:13:25,THIS CAMERA WOULD BE USED BY OUR INVESTIGATORS FOR CRIME SCENE INVESTIGATION. ,CYCLE - This item is in the GSA cycle and cannot be issue at this time.
LESOHQ,1702939,AL,UNIV OF NORTH AL POLICE  HI_ED,8430,015474966,"BOOTS,COMBAT",PR,1,97.95,A,2016-10-24 23:15:10,TO BE USED BY OUR ON DUTY OFFICERS WITH THEIR CLASS B UNIFORMS. ,JUSTIFICATION. Please provide more information regarding how this item will support a law enforcement purpose or use in your agency while wearing them with the Class B uniform.
LESOHQ,1708038,AL,UNIV OF NORTH AL POLICE  HI_ED,5855,012280937,NIGHT VISION GOGGLE,EA,4,3578,F,2016-10-26 17:45:01,"THESE UNITS WOULD BE USED BY OUR PATROL OFFICERS AND SPECIAL UNITS TO HELP IN CONDUCTING SEARCHES OF LOST PERSON, DURING CRIMES IN PROGRESS IE; BURGLARIES, THEFTS, VANDALISMS AND SO ON. WE WOULD NOT NEED THESE IF WE GET AWARDED THE ONES FROM NSN 8460014711035",CANCELLED - Agency is unable to perform the DEMIL requirements upon turn-in of the item.
LESOHQ,1724587,AL,UNIV OF NORTH AL POLICE  HI_ED,2330,DSMOBHOME,MOBILE HOME,EA,1,22000,A,2016-11-14 17:47:59,THIS ITEM WOULD BE USED AS OUR MOBILE COMMAND POST DURING EMERGENCY AND NON EMERGENCY EVENTS. ,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1724589,AL,UNIV OF NORTH AL POLICE  HI_ED,6910,013771435,"MANIKIN,CARDIOPULMO",EA,1,1742.55,A,2016-11-14 17:47:59,THIS UNIT WOULD BE USED FOR TEACHING CPR. WE HAVE 4 INSTRUCTORS AND WOULD BE TEACHING APPROX. 10 PEOPLE AT A TIME. ,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1724588,AL,UNIV OF NORTH AL POLICE  HI_ED,6910,013764412,TRAINING DEVICE,EA,2,835.03,A,2016-11-14 17:47:59,THESE UNITS WOULD BE USED FOR TEACHING CPR. WE HAVE 4 INSTRUCTORS AND WOULD BE TEACHING APPROX. 10 PEOPLE AT A TIME. ,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1724586,AL,UNIV OF NORTH AL POLICE  HI_ED,4240,007593290,"PROTECTOR,HEARING",EA,15,34.17,A,2016-11-14 17:47:59,WE WOULD LIKE THESE UNITS FOR THE FIRING RANGE USE DURING FIREARMS TRAINING. ,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1733682,AR,BELLA VISTA POLICE DEPT,2320,DSPICKUP0,PICKUP,EA,1,25000,A,2016-11-23 13:50:48,"VEHICLE WOULD BE FOR MULTIPLE USES.   VEHICLE COULD TRANSPORT EQUIPMENT AND GEAR FOR TRAINING, OPERATIONS, AND COMMUNITY EVENTS.   VEHICLE COULD BE USED IN UNDER COVER OPERATIONS.   VEHICLE COULD BE USED A SPARE WHEN A PRIMARY VEHICLE GOES DOWN.","JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used. Who -agency- would the truck be used by?"
LESOHQ,1735776,AR,CRAWFORD COUNTY SHERIFF DEPT,6520,014565406,"STOOL,DENTAL OPERAT",SE,2,3343.3,A,2016-11-25 13:21:16,WILL BE USED IN OUR NEW DETENTION FACILITY. WE HAVE A MEDICAL AND A DENTAL FACILITY IN OUR NEW JAIL TO KEEP FROM HAVING TO TRANSPORT PRISONERS FROM THERE FOR MEDICAL AND DENTAL TREATMENT.,CYCLE...Item is in the GSA Cycle.  Cannot release property during this cycle.
LESOHQ,1719386,AR,IZARD COUNTY SHERIFF DEPT,7125,DSLOCKER2,"LOCKER, STORAGE",EA,2,200,A,2016-11-07 12:35:04,TO BE USED FOR EVIDENCE AND PROPERTY STORAGE TO MAINTAIN AN CHAIN OF CUSTODY FOR COURT. ,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1719387,AR,IZARD COUNTY SHERIFF DEPT,7125,DSLOCKER2,"LOCKER, STORAGE",EA,2,250,A,2016-11-07 12:35:04,TO STORE EVIDENCE AND SEIZED PROPERTY SECURELY TO MAINTAIN A CHAIN OF CUSTODY FOR COURT. ,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1700643,AR,PRAIRIE GROVE POLICE DEPT,2320,012300306,"TRUCK,DUMP",EA,1,92489,A,2016-10-21 16:07:36,THE DUMP TRUCK WILL BE UTILIZED BY THE POLICE DEPARTMENT TO HAUL GRAVEL AND OTHER TOP SOIL TO THE POLICE FIRING RANGE.,PAPERWORK- agency does not have approved EO paperwork.  Please contact State Coordinator for guidance
LESOHQ,1719367,AR,SALINE COUNTY SHERIFF OFFICE,8145,013913856,SHIPPING AND STORAG,EA,1,16470.13,A,2016-11-07 11:54:55,TO STORE SHERIFF'S OFFICE EQUIPMENT,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1720502,AR,SALINE COUNTY SHERIFF OFFICE,5110,015922581,"MULTI-TOOL,FOLDING,POCKET",EA,100,46.49,A,2016-11-08 10:50:19,DEPUTIES WILL BE USING THE ITEM TO HELP IN THE SEARCH FOR ILLEGAL NARCOTICS AND CONTRABAND TO BE USED FOR LAW ENFORCEMENT PURPOSES ONLY ,ALLOCATION Agency at allocation for item.
LESOHQ,1725216,AR,SALINE COUNTY SHERIFF OFFICE,5110,002932336,"AX,SINGLE BIT",EA,1,34.57,A,2016-11-15 15:22:34,"ASSIGNED TO AN EMERGENCY RESPONSE VEHICLE._x000D_
WILL BE UTILIZED DURING MAN MADE OR NATURAL DISASTERS AS WELL AS RESCUES.","JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1725221,AR,SALINE COUNTY SHERIFF OFFICE,6530,012601222,RESCUE AND TRANSPOR,EA,1,707.0600000000001,A,2016-11-15 15:22:34,"ASSIGNED TO AN EMERGENCY RESPONSE VEHICLE._x000D_
TO BE UTILIZED DURING NATURAL AND OR MAN MADE DISASTERS AS WELL AS RESCUES.","JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1725395,AR,SALINE COUNTY SHERIFF OFFICE,4240,DSSAFERES,SAFETY AND RESCUE EQUIPMENT,EA,100,14.5,A,2016-11-16 00:10:22,FOR LAW ENFORCEMENT PURPOSES ONLY FOR RESCUE OF TRAPPED OCCUPANTS IN VEHICLES,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1726100,AR,SALINE COUNTY SHERIFF OFFICE,6230,010963508,"FLOODLIGHT SET,ELECTRIC",EA,1,10795.31,A,2016-11-16 13:38:10,ISSUED TO THE EMERGENCY RESPONSE VEHICLE.  WILL BE UTILIZED DURING MAN MADE OR NATURAL DISASTERS AS WELL AS TO ILLUMINATE REMOTE CRIME SCENES.,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1732878,AR,SALINE COUNTY SHERIFF OFFICE,2320,012300302,TRUCK TRACTOR,EA,1,86203,A,2016-11-22 22:15:49,THIS WOULD BE USED TO TRANSPORT EQUIPMENT USED TO MOVE DEBRIS DURING NATURAL DISASTERS AND TO HELP WITH THE MAINTENANCE OF ARE SHERIFF'S OFFICE TRAINING FACILITY SUCH AS ARE FIRING RANGE TO TRANSPORT MATERIALS NEEDED TO REBUILD AND SUPPLIES.  THIS WOULD BE STRICTLY LAW ENFORCEMENT USE ONLY.,PAPERWORK- Agency does not have approved EO paperwork.  Please contact State Coordinator for guidance
LESOHQ,1733838,AR,SALINE COUNTY SHERIFF OFFICE,8465,014902328,LAW ENFORCEMENT AND SECURITY EQUIPMENT,EA,3,14896,A,2016-11-23 23:49:04,TO BE USED FOR LAW ENFORCEMENT PURPOSES ONLY BY THE SHERIFF'S OFFICE DEPUTIES.  ,"JUSTIFICATION...Please provide a more detailed justification, including the specific intended use for the item.  WHY is the item needed?  HOW will it be used for law enforcement purposes?"
LESOHQ,1697636,AZ,ARIZONA DEPT OF PUBLIC SAFETY,2320,015420657,"KIT,RIOT PROTECTION",EA,5,14000,A,2016-10-18 21:59:24,WILL BE USED STATEWIDE FOR CIVIL DISOBEDIENCE INCIDENTS TO PROTECT POLICE OFFICERS DEALING WITH CROWDS.,PAPERWORK - We are unable to approve you requisition. We do not have the proper documentation that is needed to approve EO CONTROLLED PROPERTY from this agency. Please submit your documentation before requesting more EO CONTROLLED PROPERTY.
LESOHQ,1716517,AZ,ARIZONA DEPT OF PUBLIC SAFETY,4240,DSSAFERES,SAFETY AND RESCUE EQUIPMENT,EA,17,90.76,A,2016-11-03 23:18:32,WILL BE USED BY POLICE OFFICERS FOR FIRST RESPONDER INCIDENTS TO CUT SEAT BELTS AT COLLISION SCENES OR FOR SELF RESCUE.,RECEIPTS Agency has 3 overdue pending receipts.
LESOHQ,1717417,AZ,ARIZONA DEPT OF PUBLIC SAFETY,4240,DSSAFERES,SAFETY AND RESCUE EQUIPMENT,EA,150,14.5,A,2016-11-04 18:16:48,WILL BE USED BY POLICE OFFICERS DURING FIRST RESPONDER INCIDENTS FOR CUTTING SEAT BELTS AT COLLISION SCENES OR SELF ERADICATION.,RECEIPTS Agency has 1 overdue receipt.
LESOHQ,1725360,AZ,AVONDALE POLICE DEPT,5120,006186902,"MIRROR,INSPECTION",EA,15,14.26,A,2016-11-15 19:04:06,FOR EXAMINING UNDER AND AROUND ITEMS FOR EVIDENCE.  ALSO TO LOOK SAFELY AROUND CORNERS THAT MIGHT BE IN A FIRE ZONE.,"JUSTIFICATION Please provide a justification that states these three requirements: We need to know that it will be used by the requesting Law Enforcement agency, used for a Law Enforcement purpose and be convincing. Provide specific examples of how the item will be used."
LESOHQ,1706522,AZ,AZ GAME AND FISH DEPT,7310,DSSTEAMER,STEAMER,EA,1,14266,A,2016-10-25 10:43:59,TO BE USED BY ARIZONA STATE PEACE OFFICERS FOR FOOD WARMING DURING COOK OUTS FOR MEETINGS AND TRAINING.  ,JUSTIFICATION - Please provide a more detailed justification to why the item is needed for Law Enforcement.
LESOHQ,1756828,AZ,CLARKDALE POLICE DEPT,1240,014111265,"SIGHT,REFLEX",EA,10,336,D,2016-12-22 19:00:18,LAW ENFORCEMENT USE ON PATROL RIFLES USED BY OFFICERS.,Cancelled by customer / manager request
LESOHQ,1743962,AZ,COCHISE COUNTY SHERIFF OFFICE,1240,015629459,"RANGE FINDER,LASER",EA,5,395,A,2016-12-06 20:56:35,THE SHERIFF'S OFFICE ISSUES RANGE FINDERS TO OUR TACTICAL TEAM SNIPERS AND BORDER INTERDICTION TEAMS TO IDENTIFY DISTANCE TO THREATS,Cancelled by customer / manager request
LESOHQ,1751400,AZ,COCHISE COUNTY SHERIFF OFFICE,7920,016301595,"BROOM,PUSH",EA,5,29.84,A,2016-12-15 19:44:32,WE UTILIZE PUSH BROOMS TO HELP CLEAN AND MAINTAIN OUR SHOOTING RANGE FACILITIES AND OTHER DEPUTY SUBSTATIONS ,RECEIPTS....Agency has overdue receipts.  LESO will not approve requests for any additional property until all overdue receipts are submitted and approved.
LESOHQ,1751401,AZ,COCHISE COUNTY SHERIFF OFFICE,5180,003577770,"TOOL KIT,REPAIRMAN'S,SMALL ARMS",KT,1,1809,A,2016-12-15 19:44:32,THE SHERIFF'S OFFICE UTILIZES THESE TOOL KITS IN OUR ARMORY AND TO ISSUE TO FIREARMS ARMORERS TO MAINTAIN AND REPAIR OUR WEAPON SYSTEMS.,RECEIPTS-Cochise CSO has receipts over 30 days overdue in FEPMIS
LESOHQ,1751402,AZ,COCHISE COUNTY SHERIFF OFFICE,5180,014830249,"TOOL KIT,GENERAL ME",SE,3,1785,A,2016-12-15 19:44:32,"THE SHERIFF'S OFFICE UTILIZES GENERAL TOOL KITS IN A VARIETY OF WAYS SUCH AS ISSUING THEM TO OUR PATROL DEPUTIES AND K9 UNITS TO FACILITATE ROADSIDE VEHICLE SEARCHES.  WE ALSO USE MISC. TOOLS IN OUR STATIONS FOR GENERAL REPAIRS, MAINTENANCE AND USAGE.",RECEIPTS....Agency has overdue receipts.  LESO will not approve requests for any additional property until all overdue receipts are submitted and approved.
