Cancelled By,State,Station Name (LEA),Item Name,UI,Quantity,Acquisition Value,Date Requested,Reason Cancelled
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"ILLUMINATOR,INFRARE",EA,12,403,2018-07-25 10:16:07,CANCELLED: At this time the LESO will not approve any Night Vision or Optics that has been turned in by a LESO customer (meaning DTIDs that start with 2YT) or with a condition code of H without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"FIRST AID KIT,INDIV",EA,40,222.79,2018-07-05 12:00:50,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"FIRST AID KIT,INDIV",EA,40,222.79,2018-07-05 12:00:50,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,THERMAL IMAGING SYSTEM,EA,1,9225.27,2018-07-25 10:16:07,CANCELLED: At this time the LESO will not approve any Night Vision or Optics that has been turned in by a LESO customer (meaning DTIDs that start with 2YT) or with a condition code of H without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,PICKUP,EA,1,13038,2018-08-25 15:06:59.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"VAN, COMMERCIAL",EA,1,26746,2018-08-25 15:06:59.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"VAN, COMMERCIAL",EA,1,15035,2018-08-25 15:06:59.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"RECORDER,SOUND",EA,1,1400,2018-08-10 21:02:09.999998,Requisition Canceled.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"GL,KIT ASSEMBLY",KT,1,2486,2018-08-10 21:02:09.999998,Requisition Canceled.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"RECORDER SET,VIDEO",SE,1,4345,2018-08-10 21:02:09.999998,Requisition Canceled.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"RECORDER SET,VIDEO",SE,1,7698,2018-08-10 21:02:09.999998,Requisition Canceled.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"TOURNIQUET,NONPNEUM",EA,20,37.79,2018-08-19 19:31:56.000001,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,BINOCULAR,EA,10,363,2018-09-16 17:44:05.000004,PROHIBITED: LESO HQ is unable to approve this DEMIL Code F property as the Department of Defense restricts reutilization to DOD Special Programs such as the LESO Program. Please contact your State Coordinator with any questions.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"SIGHT,THERMAL",EA,2,11300,2018-08-08 14:18:32,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"MODIFICATION KIT, GUN",KT,6,378.79,2018-08-06 15:13:19.000001,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",EA,2,1695,2018-08-06 15:13:19.000001,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"ILLUMINATOR,INTEGRATED,SMALL ARMS",EA,12,838,2018-08-09 14:51:43.000001,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,FLASHLIGHT,EA,2,127.71,2018-09-06 21:13:47.000003,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,HANDHELD DEVICE,EA,20,586,2018-09-06 21:13:47.000003,CANCELLED: Per a DLA directive these devices cannot be reutilized as they have been found to contain personal sensitive data.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,BINOCULAR,EA,10,435,2018-09-06 21:13:47.000003,PROHIBITED--the DEMIL F instructions prohibit this item from reutilization for LESO customers.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,VAN,EA,1,17000,2018-08-14 22:01:44.999996,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be persuasive. Provide specific examples of how the item will be used."
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,VAN,EA,1,17000,2018-08-14 22:01:44.999996,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be persuasive. Provide specific examples of how the item will be used."
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"SHIELD, PERSONAL PROTECTIVE",EA,2,150,2018-08-03 12:01:34.000003,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"VEST,NON-BALLISTIC PROTECTIVE,ARMOR-CARR",EA,17,298,2018-08-03 12:01:34.000003,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,HANDHELD DEVICE,EA,25,603.77,2018-08-23 12:16:09.000002,CANCELLED: Per a DLA directive these devices cannot be reutilized as they have been found to contain personal sensitive data.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"MANIKIN,ADULT,RESCU",EA,1,904.04,2018-07-19 09:27:49.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DALE COUNTY SHERIFF OFFICE,"FIRST AID KIT,INDIV",EA,40,222.79,2018-07-04 17:53:24.999996,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DOTHAN REGIONAL AIRPORT POLICE LEA,"UTILITY VEHICLE,OFF ROAD",EA,1,31905.14,2018-08-17 08:25:23.999998,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,DOTHAN REGIONAL AIRPORT POLICE LEA,HANDHELD DEVICE,EA,7,586,2018-09-05 08:11:21.000002,CANCELLED: Per a DLA directive these devices cannot be reutilized as they have been found to contain personal sensitive data.
LESOHQ,AL,FAYETTE POLICE DEPT,"TOOL KIT,PIONEER PL",KT,1,79192.43,2018-07-25 15:16:53.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,FAYETTE POLICE DEPT,LIGHT SET,EA,1,14596.16,2018-07-22 14:40:02.000003,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,FAYETTE POLICE DEPT,LIGHT SET,EA,1,14596.16,2018-07-22 14:40:02.000003,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,GORDON POLICE DEPARTMENT,"ALL TERRAIN VEHICLE, AG/BVUS",EA,1,5000,2018-08-22 08:13:37.000004,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,AL,GORDON POLICE DEPARTMENT,GARDENING IMPLEMENTS AND TOOLS,EA,1,8000,2018-08-31 11:15:40.999997,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,AL,GORDON POLICE DEPARTMENT,GARDENING IMPLEMENTS AND TOOLS,EA,1,8000,2018-09-11 15:05:13.000002,RECEIPTS--The LEA currently has overdue pending receipts which must be completed prior to new property being issued.
LESOHQ,AL,GORDON POLICE DEPARTMENT,"TRACTORS, WHEELED",EA,1,10000,2018-08-22 08:13:37.000004,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,GUNTERSVILLE POLICE DEPT,"VAN, COMMERCIAL",EA,1,26746,2018-08-24 16:51:54.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,HANCEVILLE POLICE DEPARTMENT,"AUTOMOBILE,SEDAN",EA,1,16400,2018-07-03 11:59:42.000003,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,HANCEVILLE POLICE DEPARTMENT,ALL TERRAIN VEHICLE WHEELED,EA,1,11365,2018-08-02 17:22:44.999996,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,HANCEVILLE POLICE DEPARTMENT,"UP ARMORED NTVS, DEMIL C",EA,1,98579,2018-07-31 16:08:22.000004,PAPERWORK: Agency does not have approved Armored paperwork.  Please contact State Coordinator for guidance.
LESOHQ,AL,HANCEVILLE POLICE DEPARTMENT,ALL TERRAIN VEHICLE WHEELED,EA,1,11365,2018-08-03 15:01:39.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,HELENA POLICE DEPT,MARK 4 SIGHT,EA,2,1122,2018-08-02 16:15:49.999997,CANCELLED: At this time the LESO will not approve any Night Vision or Optics that has been turned in by a LESO customer (meaning DTIDs that start with 2YT) or with a condition code of H without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition.
LESOHQ,AL,HELENA POLICE DEPT,MARK 4 SIGHT,EA,3,1122,2018-08-01 16:08:22.000004,CANCELLED: At this time the LESO will not approve any Night Vision or Optics that has been turned in by a LESO customer (meaning DTIDs that start with 2YT) or with a condition code of H without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition.
LESOHQ,AL,HENRY COUNTY SHERIFFS OFFICE,"IMAGE INTENSIFIER,NIGHT VISION",EA,6,6392,2018-07-13 10:55:36.999995,"CANCELLED: At this time the LESO will not approve any Night Vision or Optics that have a condition code of H, without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition."
LESOHQ,AL,HENRY COUNTY SHERIFFS OFFICE,"HELMET,FLYER'S",EA,1,1395.81,2018-09-20 15:48:41.999996,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,AL,HENRY COUNTY SHERIFFS OFFICE,"HELMET,FLYER'S",EA,1,1395.81,2018-09-20 15:48:41.999996,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,AL,HENRY COUNTY SHERIFFS OFFICE,TRUCKS AND TRUCK TRACTORS,EA,1,23194,2018-09-20 15:48:41.999996,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,AL,HIGHLAND LAKE POLICE DEPT,"SIGHT,THERMAL",EA,2,11300,2018-07-10 11:25:27.999998,CANCELLED: At this time the LESO will not approve any Night Vision or Optics that have a condition code of H without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition.
LESOHQ,AL,HIGHLAND LAKE POLICE DEPT,"FIRING DEVICE,NON-LETHAL",EA,2,959,2018-07-10 11:22:41.999998,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,HIGHLAND LAKE POLICE DEPT,"TRUCK,CARGO",EA,1,27290,2018-07-18 09:16:40.999996,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,HOUSTON COUNTY SHERIFF DEPT,MISCELLANEOUS HOUSEHOLD FURNISHINGS,EA,6,392.97,2018-08-02 09:16:56.000004,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JACKSONVILLE POLICE DEPT,"UTILITY VEHICLE,OFF ROAD",EA,1,31905.14,2018-08-16 19:07:30,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JACKSONVILLE POLICE DEPT,PICKUP,EA,1,13038,2018-08-26 08:04:59.000002,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JACKSONVILLE POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-21 09:05:56.000003,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JACKSONVILLE POLICE DEPT,MULE,EA,1,7925,2018-07-21 09:09:23,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JACKSONVILLE POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-21 09:03:22.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JACKSONVILLE POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-21 09:03:22.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JASPER POLICE DEPT,"UTILITY VEHICLE,OFF ROAD",EA,1,32000,2018-07-20 09:10:38.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JASPER POLICE DEPT,"UTILITY VEHICLE,OFF ROAD",EA,1,32000,2018-07-20 09:10:38.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JASPER POLICE DEPT,"UTILITY VEHICLE,OFF ROAD",EA,1,32000,2018-07-20 09:10:38.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JEFFERSON COUNTY SHERIFF (BESSEMER),"BROOM,PUSH",EA,1,8.55,2018-06-29 17:23:00.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JEFFERSON COUNTY SHERIFF (BESSEMER),"RAG,WIPING",BE,1,20.88,2018-06-29 17:23:00.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,JEFFERSON COUNTY SHERIFF (BESSEMER),"SCRUBBING MACHINE,FLOOR,ELECTRIC",EA,1,10920.17,2018-08-30 12:33:39.000004,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,ODENVILLE POLICE DEPT,HANDHELD DEVICE,EA,15,603.77,2018-08-21 23:32:42.000003,CANCELLED: Per a DLA directive these devices cannot be reutilized as they have been found to contain personal sensitive data.
LESOHQ,AL,ORANGE BEACH POLICE DEPT,PICKUP,EA,1,13038,2018-08-27 11:39:55.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,POWELL POLICE DEPT,"TRACTORS, WHEELED",EA,1,10000,2018-08-22 11:39:39.999998,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,POWELL POLICE DEPT,"TRACTORS, WHEELED",EA,1,10000,2018-08-22 14:11:53.999998,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,SARDIS CITY POLICE DEPT,LIGHT SET,EA,2,3000,2018-07-09 13:33:09,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,SNEAD POLICE DEPT                  ,"BUS,MOTOR",EA,1,97183,2018-09-11 18:40:23.000002,JUSTIFICATION--the justification states that this property would be used for non-law enforcement purposes (prisoner transport does not meet the definition of law enforcement).
LESOHQ,AL,SUMITON POLICE DEPT,PICKUP,EA,1,16423,2018-08-08 08:17:38,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,SUMITON POLICE DEPT,TRUCKS AND TRUCK TRACTORS,EA,1,20414,2018-08-08 08:15:23,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,SUMITON POLICE DEPT,"TRUCK,CARGO",EA,1,11561,2018-09-10 07:13:03.999996,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be persuasive. Provide specific examples of how the item will be used."
LESOHQ,AL,SUMITON POLICE DEPT,EARTH MOVING AND EXCAVATING EQUIPMENT,EA,1,41500,2018-09-18 16:46:20.000001,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,SUMITON POLICE DEPT,"AUTOMOBILE,SEDAN",EA,1,16400,2018-07-03 08:14:04.999998,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,SUMITON POLICE DEPT,"LAWN MOWER, RIDING",EA,1,24500,2018-08-23 17:26:09.000004,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be persuasive. Provide specific examples of how the item will be used."
LESOHQ,AL,SUMITON POLICE DEPT,PICKUP,EA,1,21904,2018-08-08 08:10:34,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TROY POLICE DEPT,"UTILITY VEHICLE,OFF ROAD",EA,1,32000,2018-09-06 07:10:22.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TROY POLICE DEPT,TRAILER,EA,1,2000,2018-09-06 13:41:31.000001,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TROY POLICE DEPT,"TRUCK,UTILITY",EA,1,41061,2018-07-27 14:37:04.000002,CYCLE: This item has moved into the unapproved General Services Administration GSA cycle and cannot be approved to LESO customers.
LESOHQ,AL,TROY POLICE DEPT,"TRUCK,CARGO",EA,1,27290,2018-07-17 16:23:40.000004,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TROY POLICE DEPT,"TRACTORS, WHEELED",EA,1,10000,2018-08-22 14:56:49.000004,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TROY POLICE DEPT,"TOURNIQUET,NONPNEUM",EA,44,37.79,2018-08-20 13:46:08,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TROY UNIVERSITY POLICE DEPT HI_ED,ALL TERRAIN VEHICLE WHEELED,EA,1,12000,2018-08-24 12:49:59.999998,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TROY UNIVERSITY POLICE DEPT HI_ED,"UTILITY VEHICLE,OFF ROAD",EA,1,31905.14,2018-08-17 07:47:08.999998,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,AL,TROY UNIVERSITY POLICE DEPT HI_ED,"TRUCK,CARGO",EA,1,5000,2018-08-17 07:47:08.999998,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,AL,TROY UNIVERSITY POLICE DEPT HI_ED,VAN,EA,1,28417.53,2018-08-07 14:40:39,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TROY UNIVERSITY POLICE DEPT HI_ED,"TRUCK,WRECKER",EA,1,60986,2018-08-17 08:02:56.999996,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,AL,TROY UNIVERSITY POLICE DEPT HI_ED,"UTILITY VEHICLE,OFF ROAD",EA,2,31905.14,2018-08-29 07:23:55.000003,"JUSTIFICATION: Please provide a justification that states these three requirements. We need to know that it will be used by the requesting Law Enforcement Agency, used for a Law Enforcement purpose and be persuasive. Provide specific examples of how the item will be used."
LESOHQ,AL,TROY UNIVERSITY POLICE DEPT HI_ED,"TRACTOR,WHEELED,INDUSTRIAL",EA,1,23945,2018-09-13 20:48:00.000003,RECEIPTS: Your Agency has overdue pending receipt(s) in FEPMIS. Please receipt for property prior to placing new requisitions.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,TRUCKS AND TRUCK TRACTORS,EA,1,198607,2018-09-18 14:40:33.000004,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,PICKUP,EA,1,16423,2018-08-08 10:07:39.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"VAN, COMMERCIAL",EA,1,19441,2018-08-08 10:07:39.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"VAN, COMMERCIAL",EA,1,19549,2018-08-08 10:07:39.999997,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,TRUCKS AND TRUCK TRACTORS,EA,1,20414,2018-08-08 10:07:39.000003,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"UTILITY VEHICLE,OFF ROAD",EA,2,32000,2018-09-06 09:26:02,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"SIGHT,HOLOGRAPHIC",EA,2,485.43,2018-07-18 17:29:30.999999,CANCELLED: At this time the LESO will not approve any Night Vision or Optics that has been turned in by a LESO customer (meaning DTIDs that start with 2YT) or with a condition code of H without the acknowledgement from the requesting agency stating they have contacted the site that the property is located at to confirm condition.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"SEMITRAILER,LOW BED",EA,1,20007,2018-07-22 11:27:00.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-22 11:27:00.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-22 11:27:00.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-22 11:27:00.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-22 11:27:00.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-22 11:27:00.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,9895.66,2018-07-22 11:27:00.999999,CANCELLED:  Item(s) has already been approved for another agency.
LESOHQ,AL,TUSCALOOSA POLICE DEPT,BINOCULAR,EA,3,363,2018-09-06 09:21:59,PROHIBITED--NSN 1240014993547 has DEMIL F instructions which state no transfer to special programs
LESOHQ,AL,TUSCALOOSA POLICE DEPT,"AUTOMOBILE,SEDAN",EA,1,16400,2018-09-18 07:10:06.000004,CANCELLED:  Item(s) has already been approved for another agency.
