State,Station Name (LEA),Requisition ID,FSC,NIIN,Item Name,UI,Quantity,Acquisition Value,DEMIL Code,Date Shipped,Justification
AL,ALEXANDER CITY POLICE DEPT,2YTAE671101619,8145,014229695,SHIPPING AND STORAG,EA,1,5602.95,A,2017-05-02 00:00:00,"THIS WOULD BE USED AT OUR FIRING RANGE TO STORE TARGETS, HEARING AND EYE PROTECTION USED BY THE OFFICERS._x000D_
  IT WOULD GIVE THEM BETTER MAINITENED EQUIPMENT USED FOR TRAINING."
AL,ALEXANDER CITY POLICE DEPT,2YTAE671101618,8145,014229695,SHIPPING AND STORAG,EA,1,5602.95,A,2017-05-02 00:00:00,THIS WOULD BE USED AT OUR FIRING RANGE TO STORE OUR BARRICADES.  IT WOULD PROTECT THEM FROM THE WEATHER AND ENHANCE THE TRAINING THE OFFICERS RECEIVE.
AL,ALEXANDER CITY POLICE DEPT,2YTAE671101617,8145,014229695,SHIPPING AND STORAG,EA,1,5602.95,A,2017-05-02 00:00:00,THIS WOULD BE USED AT OUR FIRING RANGE TO HELP STORE OUR TARGET STANDS AND PROTECT THEM FROM THE WEATHER.  
AL,ALEXANDER CITY POLICE DEPT,2YTAE671101615,7240,DSUTILCAN,HOUSEHOLD AND COMMERCIAL UTILITY CONTAIN,EA,6,50,A,2017-05-02 00:00:00,  THESE CONTAINER WOULD BE USED TO STORE OUR TRAINING SIMINITION GUNS AND EQUIPMENT.  THIS WOULD MAKE IT EASIER TO CARRY THEM INTO THE FIELD AND KEEP THEM ORGINIZED FOR TRAINING
AL,ALEXANDER CITY POLICE DEPT,2YTAE671018834,7830,DSRECGYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,EA,1,500,A,2017-05-02 00:00:00,  LAW ENFORCMENT IS A STRENUOUS JOB.  THIS EQUIPMENT WILL HELP TO KEEO OUR OFFICERS IS BETTER PHYSICAL SHAPE TO PROTECT FROM INJURIES.
AL,ALEXANDER CITY POLICE DEPT,2YTAE671266234,6515,015996735,"POUCH,TOURNIQUET",EA,50,12.49,A,2017-05-17 00:00:00,THESE WOULD ALLOW THE OFFICERS TO CARRY A TOURNIQUET ON THIER PERSON AND HAVE IT WITH IN SECONDS IF IT WERE EVER NEEDED.
AL,ALEXANDER CITY POLICE DEPT,2YTAE671235278,7830,DSELLIPTI,ELLIPTICAL,EA,1,1000,A,2017-05-17 00:00:00,THIS CAN BE PLACED INTO OUR DEPARTMENT GYM FOR OFFICERS TO HELP CONDITION THEIR BODIES FOR THE STRENUOUS WORK OF LAW ENFORCMENT.  
AL,ALEXANDER CITY POLICE DEPT,2YTAE671245775,6515,015307015,"TOURNIQUET,NONPNEUM",EA,12,34.96,A,2017-05-17 00:00:00,THESE AN BE GIVEN TO THE OFFICERS AND GIVE THEM A LIFE SAVING DEVICE WITH IN REACH. THIS COULD SAVE THEIR LIFE OUR THE LIFE OF A PERSON THEY COME IN CONTACT THAT HAS SEVERE TRAMA'
AL,ALEXANDER CITY POLICE DEPT,2YTAE671245764,7830,015977022,"EXERCISE MACHINE,GYMNASTIC",EA,1,1000,A,2017-05-17 00:00:00,THIS CAN BE PLACED INTO THE DEPARTMENT GYM FOR THE OFFICERS TO CONDITION THEIR BODIES FOR THE STRENUOUS WORK OF LAW ENFORCEMENT.
AL,ALEXANDER CITY POLICE DEPT,2YTAE671348381,6515,015307015,"TOURNIQUET,NONPNEUM",EA,9,34.96,A,2017-05-17 00:00:00,THESE WOULD PLACE LIFE SAVING EQUIPMENT IN THE HANDS OF OUR OFFICERS IF THEY HAVE TO DEAL WITH ARTERIAL BLEEDING FROM SOMEONE
AL,ALEXANDER CITY POLICE DEPT,2YTAE671245736,4240,015545699,"GOGGLES,BALLISTIC",KT,16,51.4,A,2017-05-17 00:00:00,THESE CAN BE USED BY OUR OFFICERS DURING FIREARMS TRAINING.  THEY WILL OFFER THEM EYE PROTECTION DURING HOME AND VEHICLE SEARCHES FROM THE NEW THREAT OF AIR BORNE NARCOTICS SUCH FENTANYL
AL,ALEXANDER CITY POLICE DEPT,2YTAE671184131,7830,016257463,VERTICAL KNEE RAISE,EA,1,500,A,2017-05-17 00:00:00,"DUE TO THE STRENUOUS JOB OF LAW ENFORCEMENT, THIS WOULD BE PLACED INTO A GYM FOR THE OFFICERS TO BELTER CONDITION THEIR BODIES FOR THE JOB"
AL,ALEXANDER CITY POLICE DEPT,2YTAE671184130,7830,015942821,"EXERCISE MACHINE,GYMNASTIC",EA,1,1000,A,2017-05-17 00:00:00,"DUE TO THE STRENUOUS JOB OF LAW ENFORCEMENT, THIS WOULD BE PLACED INTO A GYM FOR THE OFFICERS TO BELTER CONDITION THEIR BODIES FOR THE JOB"
AL,ALEXANDER CITY POLICE DEPT,2YTAE671266235,6515,015390600,"PAD,ELECTRODE,DEFIB",PG,1,273.39,A,2017-05-17 00:00:00,THESE CAN BE PLACED WITH OUR DEFIBRILLATORS AND KEPT ON HAND IN CASE OF USE.
AL,ALEXANDER CITY POLICE DEPT,2YTAE671286440,4240,015255085,"SPECTACLE KIT,INTER",EA,60,50.050000000000004,A,2017-05-25 00:00:00,THESE WOULD BE ESSENTIAL IN PROTECTING OFFICERS EYES DURING HOME AND VEHICLE SEARCHES FROM THE GROWING THREAT OF AIR BOURNE NARCOTICS.  THEY COULD ALSO BE USED DURING FIRE ARMS AND LIVE FIRE TRAINING.
AL,ALEXANDER CITY POLICE DEPT,2YTAE671204416,4240,DSGOGGLES,SAFETY GOGGLES,EA,20,110.94,D,2017-05-25 00:00:00,"THESE CAN BE USED DURING LIVE FIRE, SIMUNITION FIRE ARMS  TRAINING AND ALLOW THE OFFICERS TO CONDUCT LIVE TRAINING AND KEEP THEIR FACES SAME."
AL,ALEXANDER CITY POLICE DEPT,2YTAE671348382,1367,015615279,"CAPABILITIES SET,NON-LETHAL",EA,1,20060,C,2017-05-25 00:00:00,THIS WOULD GIVE OUR SRG TEAM A NON LETHAL ALTERNATIVE TO HAVE ON MISSIONS.
AL,ALEXANDER CITY POLICE DEPT,2YTAE671513145,2340,DSATV4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,5000,A,2017-06-01 00:00:00,"  THIS VEHICLE CAN BE USED TO TRANSPORT AND PATROL THROUGH OUT ARE CAMP SIGHTS AND RUAL AREAS.  _x000D_
  IT WILL BE EXSPECIALLY ESSENTIAL IF THE CASE OF A NATURAL DISASTER AND INCEMENT WEATHER SUCH AS SNOW OR ICE. "
AL,ALEXANDER CITY POLICE DEPT,2YTAE671410540,7810,DSATHSPOR,ATHLETIC AND SPORTING EQUIPMENT,EA,1,10,A,2017-06-01 00:00:00,"DUE TO THE HIGH PHYSICAL STESS OF LAW ENFORCMENT, THIS COULD BE PLACED IN OUR DEPARTMENT GYM SO OFFICERS COULD BETTER CONDITION THEIR BODIES. "
AL,ALEXANDER CITY POLICE DEPT,2YTAE671410538,7830,DSLEGCURL,LEG CURL,EA,1,10,A,2017-06-01 00:00:00,"DUE TO THE HIGH PHYSICAL STRESS OF LAW ENFORCMENT, THIS MACHINE CAN BE PLACED INTO OUR DEPARTMENT GYM FOR THE OFFICERS TO BETTER CONDIDTION THIER BODIES."
AL,ALEXANDER CITY POLICE DEPT,2YTAE671348380,6510,015730300,"DRESSING,CHEST SEAL",EA,100,16.15,A,2017-06-14 00:00:00,THESE WOULD BRING LIFE SAVING ITEMS TO THE HANDS OF OFFICER THAT WOULD MAKE DEALING WITH A SUCKING CHEST WOUND EASIER AND POSSIBLY SAVE SOMEONE'S LIFE.
AL,BLOUNT COUNTY SHERIFF OFFICE,2YTBBQ70885260,2355,015534634,MINE RESISTANT VEHI,EA,1,658000,C,2017-04-04 00:00:00,"TO BE USED FOR OFFICER SAFETY IN TIMES OF NEED IN HIGH RISK SEARCH WARRANTS, HOSTAGE, AND TO ASSIST OTHER DEPARTMENTS IN THE AREA "
AL,BLOUNT COUNTY SHERIFF OFFICE,2YTBBQ71646606,2320,DSTRUCK00,TRUCKS AND TRUCK TRACTORS,EA,1,99877,A,2017-06-20 00:00:00,IF THE TRUCK AND THE INSTALLED SYSTEM ARE OPERATIONAL IT WILL BE USED TO SCAN VEHICLES AND IF THE SYSTEM IS NOT OPERATIONAL AND IS NOT COST EFFECTIVE WE WOULD REQUEST APPROVAL TO REMOVE THE BED AND HAVE A FLAT BED INSTALLED THEN IT WOULD BE USED FOR PULLING TRAILERS AND MOVING EQUIPMENT FOR THE DEPARTMENT AND ALSO BE AVAILABLE FOR MUTUAL AID FOR SURROUNDING DEPARTMENTS     
AL,BLOUNTSVILLE POLICE DEPT,2YTBBS70905807,2340,DSMULE000,MULE,EA,1,7925,A,2017-04-12 00:00:00,THE MULE WILL BE USED FOR SEARCH AND RESCUE OPERATIONS AS WELL AS OFFICER TRANSPORT TO REMOTE LOCATIONS THAT STANDARD PATROL VEHICLE CAN'T ACCESS. IT WILL BE USED IN NARCOTICS ERADICATION OPERATIONS IN REMOTE AREAS AS OFFICER TRANSPORT. THE MULE WILL BE USED DURING TOWN EVENTS AND FESTIVALS TO PATROL AREAS WHERE IT IS CLOSED TO TRAFFIC AND NOT ACCESSIBLE TO STANDARD PATROL VEHICLES. IT WILL MAKE ANSWERING CALLS IN LISTED AREAS MORE EFFICIENT AND PRACTICAL.
AL,BLOUNTSVILLE POLICE DEPT,2YTBBS70946787,2340,005403900,"SCOOTER,MOTOR",EA,1,3648,A,2017-04-13 00:00:00,"THIS VEHICLE WOULD BE USED FOR SEARCH AND RESCUE OPERATIONS, NARCOTIC ENFORCEMENT IN REMOTE AREAS, OFFICER TRANSPORTATION TO REMOTE AREAS WERE STANDARD PATROL VEHICLES CAN'T ACCESS. VEHICLE WOULD BE USED DURING TOWN EVENTS TO PATROL CLOSED STREETS AS WELL AS TO PATROL THE PARKS MORE EFFICIENTLY. "
AL,BLOUNTSVILLE POLICE DEPT,2YTBBS70946792,2340,005403900,"SCOOTER,MOTOR",EA,1,3648,A,2017-04-13 00:00:00,THE POLICE WOULD USED THIS VEHICLE TO TRANSPORT NECESSARY EQUIPMENT TO SCENES WHERE STANDARD VEHICLES CAN'T ACCESS. THE VEHICLE WOULD BE USED IN REMOTE AREAS FOR NARCOTICS ENFORCEMENT AND TO TRANSPORT EQUIPMENT AROUND THE FIRING RANGE. VEHICLE WOULD BE USED DURING TOWN EVENTS WHEN STREETS ARE CLOSED AND TO ASSIST OFFICERS WHEN PATROLLING SPORTS COMPLEX AS WELL AS PARKS. VEHICLE WOULD ALSO BE USED DURING SEARCH AND RESCUE OPERATIONS.
AL,BLOUNTSVILLE POLICE DEPT,2YTBBS70946793,2340,005403900,"SCOOTER,MOTOR",EA,1,3648,A,2017-04-14 00:00:00,THE POLICE WOULD USED THIS VEHICLE TO TRANSPORT NECESSARY EQUIPMENT TO SCENES WHERE STANDARD VEHICLES CAN'T ACCESS. THE VEHICLE WOULD BE USED IN REMOTE AREAS FOR NARCOTICS ENFORCEMENT AND TO TRANSPORT EQUIPMENT AROUND THE FIRING RANGE. VEHICLE WOULD BE USED DURING TOWN EVENTS WHEN STREETS ARE CLOSED AND TO ASSIST OFFICERS WHEN PATROLLING SPORTS COMPLEX AS WELL AS PARKS. VEHICLE WOULD ALSO BE USED DURING SEARCH AND RESCUE OPERATIONS.
AL,BLOUNTSVILLE POLICE DEPT,2YTBBS70957145,3805,DSEARTHMO,EARTH MOVING AND EXCAVATING EQUIPMENT,EA,1,16056,A,2017-04-20 00:00:00,"THE POLICE WOULD USE THIS EQUIPMENT TO UP KEEP THE GROUNDS AT OUR LAW ENFORCEMENT FIRING RANGE AND TRAINING FACILITY, IMPOUND LOTS, AND DIRT ROAD ACCESSING THE FIRING RANGE. THE POLICE COULD USE THIS EQUIPMENT TO CLEAR POLICE PARKING AREAS DURING INCLIMATE WEATHER SO POLICE PATROL VEHICLES CAN GET OUT TO EMERGENCY CALLS."
AL,BLOUNTSVILLE POLICE DEPT,2YTBBS71070749,3805,DSEARTHMO,EARTH MOVING AND EXCAVATING EQUIPMENT,EA,1,22711,A,2017-04-26 00:00:00,BOBCAT WILL BE USED BY POLICE DEPARTMENT TO MAINTAIN FIRING RANGE AND TRAINING FACILITY GROUNDS AS WELL AS USED IN TIMES OF BAD WEATHER TO CLEAR POLICE DEPARTMENT PROPERTY OF DEBRIS.
AL,BLOUNTSVILLE POLICE DEPT,2YTBBS71029127,6115,013172138,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUN",EA,1,31481,A,2017-04-27 00:00:00,"THE POLICE WOULD USE THIS GENERATOR IN TIMES OF NATURAL DISASTER TO POWER THE POLICE DEPARTMENT. THE POLICE WOULD ALSO USE THIS GENERATOR TO POWER MOBILE COMMAND POSTS, MOBILE SHELTERS, TRIAGES, AND POLICE OPERATED CENTERS DURING DISASTERS WITH MASS POWER OUTAGES."
AL,BLOUNTSVILLE POLICE DEPT,2YTBBS71091311,2320,011233999,"TRUCK,CARGO",EA,1,11561,A,2017-05-06 00:00:00,"THIS VEHICLE WOULD BE USED FOR UNDERCOVER NARCOTICS OPERATIONS, OFFICER TRANSPORT TO TRAINING CLASSES AND ACADEMY, TO HAUL TARGETS, AMMO AND EQUIPMENT TO TRAINING FACILITY FIRING RANGE."
AL,BLOUNTSVILLE POLICE DEPT,2YTBBS71390051,3750,DSLAWNMOW,LAWN MOWER,EA,1,2800,A,2017-05-30 00:00:00,THIS EQUIPMENT WOULD ALLOW THE POLICE DEPARTMENT TO MOW AND MAINTAIN OUR TRAINING FACILITY AND FIRING RANGE AS WELL AS ALL POLICE DEPARTMENT OWNED PROPERTIES. THIS EQUIPMENT WOULD SAVE DEPARTMENT FUNDS BY ALLOWING POLICE TO NOT HAVE TO CONTRACT THE SERVICE.
AL,BLOUNTSVILLE POLICE DEPT,2YTBBS71389786,3825,015574503,"BRUSH SECTION,ROTARY SWEEPER",EA,1,3978,A,2017-05-30 00:00:00,"THE POLICE WOULD USE THIS ATTACHMENT TO SWEEP DEBRIS FROM AREAS OF WRECKS, LEFT OVER STORM DEBRIS, TO CLEAN PARKING LOT DEBRIS AT POLICE DEPARTMENT, AND TO SWEEP DEBRIS FROM OUR TRAINING FACILITY AREA. THE ATTACHMENT WOULD BE USED WITH OUR BOBCAT THAT WAS AWARDED FROM RTD AND DLA."
AL,CHAMBERS COUNTY SHERIFF'S OFFICE,2YTB6Z71513320,2610,013337632,"TIRE,PNEUMATIC,VEHI",EA,4,450.71000000000004,A,2017-06-06 00:00:00,TO REPLACE THE TIRES ON THE SHERIFFS DEPT. HUMVEE THAT HAVE BECAME WORN AND UN SAFE FOR ROAD USE.
AL,CHAMBERS COUNTY SHERIFF'S OFFICE,2YTB6Z71451929,2610,013337632,"TIRE,PNEUMATIC,VEHI",EA,2,450.71000000000004,A,2017-06-06 00:00:00,NEEDED TO REPLACE 2 WORN OUT  TIRES ON THE  SHERIFF DEPT. HMMWV
AL,CHAMBERS COUNTY SHERIFF'S OFFICE,2YTB6Z71534046,4140,DSAIRCIRC,"FANS, AIR CIRCULATORS, AND BLOWER EQUIP",EA,1,11995,A,2017-06-13 00:00:00,TO BE USED BY THE CHAMBERS COUNTY SHERIFF DEPT. FOR COOLING THE PAVILION AT THE TRAINING CENTER DURING OUTSIDE CLASSES
AL,CULLMAN POLICE DEPT,2YTC1D71039859,2320,013554332,TRUCK TRACTOR,EA,1,142132,A,2017-04-20 00:00:00,FOR USE IN MOVING TRAILERS THAT HAVE EVIDENCE STORED. AND ALSO MOVING OUR POLICE DEPARTMENTS MOBILE COMMAND CENTER.
AL,CULLMAN POLICE DEPT,2YTC1D71039886,2320,011644815,"TRUCK,CARGO",EA,1,5000,A,2017-04-26 00:00:00,TO BE USED BY THE CULLMAN POLICE AVIATION UNIT TO BE ABLE TO BE HAUL NEEDED FUEL IN AN AUXILIARY FUEL TANK TO A SCENE DURING AN EMERGENCY EVENT OR A SEARCH. IT WILL ALLOW THE POLICE AIRCRAFT TO STAY ON SCENE LONGER AND EXTEND THEIR RANGE OF RESPONSE TO SURROUNDING LAW ENFORCEMENT AGENCIES.
AL,CULLMAN POLICE DEPT,2YTC1D71224765,2320,014365340,"TRUCK,STAKE",EA,1,216.46,A,2017-05-10 00:00:00,"FOR USE OF HAULING EMERGENCY EQUIPMENT FOR CULLMAN POLICE DEPARTMENT. TRAFFIC CONES, DETOUR SIGNS, AND OTHER TRAFFIC CONTROL EQUIPMENT, DURING SPECIAL EVENTS AND DISASTERS."
AL,CULLMAN POLICE DEPT,2YTC1D71286638,2340,DSATV4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",EA,1,6699.38,A,2017-05-10 00:00:00,FOR USE BY CULLMAN POLICE DEPARTMENT AT THE POLICE HANGAR TO PULL 1033 AIRCRAFT IN AND OUT OF HANGAR.
AL,CULLMAN POLICE DEPT,2YTC1D71214597,2330,009993591,"SEMITRAILER,REFRIGERATOR",EA,1,13772,A,2017-05-16 00:00:00,FOR USE DURING DISASTER RESPONSE TO STORE FOOD AND DRINK ITEMS. ALSO FOR USE DURING CONCERTS THAT WE HAVE DURING THE SUMMER TO KEEP DRINK AND FOOD ITEMS COLD FOR OFFICERS.
AL,CULLMAN POLICE DEPT,2YTC1D71451894,2320,014886962,TRUCK TRACTOR,EA,1,166223,A,2017-06-06 00:00:00,"CULLMAN POLICE DEPARTMENT IS IN NEED OF THIS TRUCK TO HAUL HEAVY EQUIPMENT. TRAILERS COMMAND POST AND OTHER ITEMS SUCH AS VEHICLES GENERATORS ETC. IN THE EVENT OF NATURAL OR OTHER DISASTERS, WHERE WE CAN GO AND ASSIST OTHER POLICE DEPARTMENTS AROUND OUR STATE, AND OTHER STATES IF NEEDED, THE TRUCK WILL ONLY BE USED BY CULLMAN  POLICE DEPARTMENT ONLY. "
AL,CULLMAN POLICE DEPT,2YTC1D71523573,2420,DSTRACTO1,"TRACTORS, WHEELED",EA,1,22500,A,2017-06-13 00:00:00,THIS ITEM WILL BE USED AT THE CULLMAN POLICE DEPARTMENT FIRING RANGE. THIS IS WHERE OUR OFFICERS ARE TRAINED AND QUALIFIED IN FIREARMS. THE NEED FOR THIS ITEM IS TO KEEP THE GROUNDS MOWED AND BUSH HOGGED FOR THE SAFETY OF OUR OFFICERS. IT WILL ALSO BE USED AT THE CULLMAN POLICE DEPARTMENT SNIPER RANGE. THIS ITEM WILL BE USED ONLY AT OUR FIRING RANGE. AND THE RANGE IS ONLY USED BY CULLMAN POLICE OFFICERS
AL,DOTHAN POLICE DEPT,2YTDEL71390087,7810,DSATHSPOR,ATHLETIC AND SPORTING EQUIPMENT,EA,1,2600,A,2017-05-25 00:00:00,TO BE USED BY SWORN DOTHAN POLICE PERSONNEL. ITEM WILL BE USED FOR FITNESS AND WELLNESS TRAINING FOR SWORN PERSONNEL. 
